	author	isbn10	isbn13	list_date	num_wks_on_list	rank_last_wk	rank_this_wk	title	asin	author_title
6220	Janet Evanovich	0312349505	9780312349509	2008-06-21	1	0	1	LEAN MEAN THIRTEEN		Janet Evanovich**LEAN MEAN THIRTEEN
6221	Nora Roberts	0515144681	9780515144680	2008-06-21	4	0	3	HIGH NOON		Nora Roberts**HIGH NOON
6222	Lisa Gardner	0553588087	9780553588088	2008-06-21	5	0	7	HIDE		Lisa Gardner**HIDE
6223	Jeffery Deaver	0743491580	9780743491587	2008-06-21	5	0	17	THE SLEEPING DOLL		Jeffery Deaver**THE SLEEPING DOLL
6224	Gena Showalter	0373773102	9780373773107	2008-06-21	1	0	13	THE DARKEST PLEASURE		Gena Showalter**THE DARKEST PLEASURE
6225	Julia Quinn	0060876107	9780060876104	2008-06-21	4	0	10	THE LOST DUKE OF WYNDHAM		Julia Quinn**THE LOST DUKE OF WYNDHAM
6226	Rachel Gibson	0061178047	9780061178047	2008-06-21	4	0	15	NOT ANOTHER BAD DATE		Rachel Gibson**NOT ANOTHER BAD DATE
6227	Danielle Steel	0440242061	9780440242062	2008-06-21	3	0	20	BUNGALOW 2		Danielle Steel**BUNGALOW 2
6228	Nora Roberts	0515144592	9780515144598	2008-06-21	7	0	6	THE HOLLOW		Nora Roberts**THE HOLLOW
6229	Jude Deveraux	1416509739	9781416509738	2008-06-21	1	0	5	RETURN TO SUMMERHOUSE		Jude Deveraux**RETURN TO SUMMERHOUSE
6230	Debbie Macomber	0778325695	9780778325697	2008-06-21	4	0	16	ALWAYS DAKOTA		Debbie Macomber**ALWAYS DAKOTA
6231	J R Ward	0451222725	9780451222725	2008-06-21	3	0	9	LOVER ENSHRINED		J R Ward**LOVER ENSHRINED
6232	David Baldacci	044661873X	9780446618731	2008-06-21	12	0	14	SIMPLE GENIUS		David Baldacci**SIMPLE GENIUS
6233	James Patterson and Michael Ledwidge	0446199273	9780446199278	2008-06-21	4	0	2	STEP ON A CRACK		James Patterson and Michael Ledwidge**STEP ON A CRACK
6234	Dean R Koontz	0553589113	9780553589115	2008-06-21	8	0	8	THE GOOD GUY		Dean R Koontz**THE GOOD GUY
6235	Nora Roberts	037328568X	9780373285686	2008-06-21	4	0	12	WAITING FOR NICK AND CONSIDERING KATE		Nora Roberts**WAITING FOR NICK AND CONSIDERING KATE
6236	Brad Thor	1416543805	9781416543800	2008-06-21	5	0	18	THE FIRST COMMANDMENT		Brad Thor**THE FIRST COMMANDMENT
6237	James Lee Burke	1416548505	9781416548508	2008-06-21	1	0	11	THE TIN ROOF BLOWDOWN		James Lee Burke**THE TIN ROOF BLOWDOWN
6238	Ken Follett	0451207149	9780451207142	2008-06-21	20	0	19	PILLARS OF THE EARTH		Ken Follett**PILLARS OF THE EARTH
6239	James Rollins	0060765380	9780060765385	2008-06-21	4	0	4	THE JUDAS STRAIN		James Rollins**THE JUDAS STRAIN
6240	Patricia Briggs	044101738X	9780441017386	2009-08-29	1	0	2	HUNTING GROUND		Patricia Briggs**HUNTING GROUND
6241	Michael Connelly	0446401196	9780446401197	2009-08-29	2	1	3	THE BRASS VERDICT		Michael Connelly**THE BRASS VERDICT
6242	Debbie Macomber	1426838689	9781426838682	2009-08-29	1	0	1	92 PACIFIC BOULEVARD		Debbie Macomber**92 PACIFIC BOULEVARD
6243	Jayne Castle	0515146897	9780515146899	2009-08-29	1	0	6	OBSIDIAN PREY		Jayne Castle**OBSIDIAN PREY
6244	Danielle Steel	0440243300	9780440243304	2009-08-29	1	0	18	A GOOD WOMAN		Danielle Steel**A GOOD WOMAN
6245	Charlaine Harris	0441012183	9780441012183	2009-08-29	20	10	16	DEAD TO THE WORLD		Charlaine Harris**DEAD TO THE WORLD
6246	Vince Flynn	1416505040	9781416505044	2009-08-29	1	0	4	EXTREME MEASURES		Vince Flynn**EXTREME MEASURES
6247	James Patterson and Michael Ledwidge	044619896X	9780446198967	2009-08-29	5	2	12	THE QUICKIE		James Patterson and Michael Ledwidge**THE QUICKIE
6248	Patricia Cornwell	0425230163	9780425230169	2009-08-29	1	0	5	SCARPETTA		Patricia Cornwell**SCARPETTA
6249	Charlaine Harris	0441010512	9780441010516	2009-08-29	26	7	15	CLUB DEAD		Charlaine Harris**CLUB DEAD
6250	Gena Showalter	1426838778	9781426838774	2009-08-29	1	0	8	THE DARKEST WHISPER		Gena Showalter**THE DARKEST WHISPER
6251	Charlaine Harris	0441016995	9780441016990	2009-08-29	40	3	10	DEAD UNTIL DARK		Charlaine Harris**DEAD UNTIL DARK
6252	Dennis Lehane	0061703257	9780061703256	2009-08-29	1	0	20	SHUTTER ISLAND		Dennis Lehane**SHUTTER ISLAND
6253	Beverly Barton	1420100505	9781420100501	2009-08-29	1	0	17	SILENT KILLER		Beverly Barton**SILENT KILLER
6254	Charlaine Harris	0441014917	9780441014910	2009-08-29	13	15	19	DEFINITELY DEAD		Charlaine Harris**DEFINITELY DEAD
6255	Charlaine Harris	0441017010	9780441017010	2009-08-29	21	5	11	FROM DEAD TO WORSE		Charlaine Harris**FROM DEAD TO WORSE
6256	David Baldacci	0446544884	9780446544887	2009-08-29	1	0	7	DIVINE JUSTICE		David Baldacci**DIVINE JUSTICE
6257	Jacquelyn Frank	1420104241	9781420104240	2009-08-29	1	0	13	PLEASURE		Jacquelyn Frank**PLEASURE
6258	Jeffery Deaver	1416595627	9781416595625	2009-08-29	2	9	9	THE BODIES LEFT BEHIND		Jeffery Deaver**THE BODIES LEFT BEHIND
6259	Dean Koontz	0553587900	9780553587906	2009-08-29	5	4	14	DEAN KOONTZ’S FRANKENSTEIN: DEAD AND ALIVE		Dean Koontz**DEAN KOONTZ’S FRANKENSTEIN: DEAD AND ALIVE
6260	John Sandford	0425234606	9780425234600	2010-06-06	5	18	20	WICKED PREY		John Sandford**WICKED PREY
6261	James Patterson and Michael Ledwidge	0446556998	9780446556996	2010-06-06	6	14	14	RUN FOR YOUR LIFE		James Patterson and Michael Ledwidge**RUN FOR YOUR LIFE
6262	Stieg Larsson	0307476154	9780307476159	2010-06-06	11	5	3	THE GIRL WHO PLAYED WITH FIRE		Stieg Larsson**THE GIRL WHO PLAYED WITH FIRE
6263	Eric Van Lustbader	044653983X	9780446539838	2010-06-06	1	0	9	THE BOURNE DECEPTION		Eric Van Lustbader**THE BOURNE DECEPTION
6264	Nora Roberts	0515148040	9780515148046	2010-06-06	2	4	2	BLACK HILLS		Nora Roberts**BLACK HILLS
6265	Stieg Larsson	0307473473	9780307473479	2010-06-06	12	1	1	THE GIRL WITH THE DRAGON TATTOO		Stieg Larsson**THE GIRL WITH THE DRAGON TATTOO
6266	Brad Thor	141658658X	9781416586586	2010-06-06	3	10	15	THE APOSTLE		Brad Thor**THE APOSTLE
6267	Linda Lael Miller	0373774419	9780373774418	2010-06-06	2	2	4	GARRETT		Linda Lael Miller**GARRETT
6268	Danielle Steel	0440243319	9780440243311	2010-06-06	2	17	10	MATTERS OF THE HEART		Danielle Steel**MATTERS OF THE HEART
6269	James Rollins	006123141X	9780061231414	2010-06-06	2	6	7	THE DOOMSDAY KEY		James Rollins**THE DOOMSDAY KEY
6270	John Lescroart	0451228324	9780451228321	2010-06-06	1	0	19	A PLAGUE OF SECRETS		John Lescroart**A PLAGUE OF SECRETS
6271	Charlaine Harris	0441018513	9780441018512	2010-06-06	9	19	18	DEAD AND GONE		Charlaine Harris**DEAD AND GONE
6272	Julia Quinn	0061491896	9780061491894	2010-06-06	2	7	12	TEN THINGS I LOVE ABOUT YOU		Julia Quinn**TEN THINGS I LOVE ABOUT YOU
6273	Karin Slaughter	0440244455	9780440244455	2010-06-06	1	0	17	UNDONE		Karin Slaughter**UNDONE
6274	Nicholas Sparks	0446570966	9780446570961	2010-06-06	15	15	13	THE LAST SONG		Nicholas Sparks**THE LAST SONG
6275	Clive Cussler and Paul Kemprecos	0425235092	9780425235096	2010-06-06	2	16	8	MEDUSA		Clive Cussler and Paul Kemprecos**MEDUSA
6276	Sherryl Woods	0778328465	9780778328469	2010-06-06	2	8	11	HONEYSUCKLE SUMMER		Sherryl Woods**HONEYSUCKLE SUMMER
6277	Gena Showalter	0373774559	9780373774555	2010-06-06	2	9	16	THE DARKEST PASSION		Gena Showalter**THE DARKEST PASSION
6278	Debbie Macomber	0778327981	9780778327981	2010-06-06	2	12	5	ORCHARD VALLEY GROOMS		Debbie Macomber**ORCHARD VALLEY GROOMS
6279	Lisa Kleypas	0312605382	9780312605384	2010-06-06	2	3	6	MARRIED BY MORNING		Lisa Kleypas**MARRIED BY MORNING
6280	Michael Connelly	0446401196	9780446401197	2009-08-22	1	0	1	THE BRASS VERDICT		Michael Connelly**THE BRASS VERDICT
6281	J D Robb	0425228940	9780425228944	2009-08-22	4	19	19	PROMISES IN DEATH		J D Robb**PROMISES IN DEATH
6282	Elin Hilderbrand	0316051950	9780316051958	2009-08-22	2	20	17	BAREFOOT		Elin Hilderbrand**BAREFOOT
6283	Charlaine Harris	0441013333	9780441013333	2009-08-22	12	13	12	DEAD AS A DOORNAIL		Charlaine Harris**DEAD AS A DOORNAIL
6284	Charlaine Harris	0441012183	9780441012183	2009-08-22	19	11	10	DEAD TO THE WORLD		Charlaine Harris**DEAD TO THE WORLD
6285	Daniel Silva	0451224507	9780451224507	2009-08-22	8	18	18	THE SECRET SERVANT		Daniel Silva**THE SECRET SERVANT
6286	Charlaine Harris	0441009239	9780441009237	2009-08-22	33	10	11	LIVING DEAD IN DALLAS		Charlaine Harris**LIVING DEAD IN DALLAS
6287	James Patterson and Michael Ledwidge	044619896X	9780446198967	2009-08-22	4	1	2	THE QUICKIE		James Patterson and Michael Ledwidge**THE QUICKIE
6288	Charlaine Harris	0441010512	9780441010516	2009-08-22	25	8	7	CLUB DEAD		Charlaine Harris**CLUB DEAD
6289	Charlaine Harris	0441015816	9780441015818	2009-08-22	6	0	16	ALL TOGETHER DEAD		Charlaine Harris**ALL TOGETHER DEAD
6290	Charlaine Harris	0441016995	9780441016990	2009-08-22	39	3	3	DEAD UNTIL DARK		Charlaine Harris**DEAD UNTIL DARK
6291	Robin Cook	0425228959	9780425228951	2009-08-22	1	0	20	FOREIGN BODY		Robin Cook**FOREIGN BODY
6292	Charlaine Harris	0441014917	9780441014910	2009-08-22	12	15	15	DEFINITELY DEAD		Charlaine Harris**DEFINITELY DEAD
6293	Charlaine Harris	0441017010	9780441017010	2009-08-22	20	5	5	FROM DEAD TO WORSE		Charlaine Harris**FROM DEAD TO WORSE
6294	Stephen Coonts	031299446X	9780312994464	2009-08-22	2	9	13	THE ASSASSIN		Stephen Coonts**THE ASSASSIN
6295	Sandra Brown	1416563075	9781416563075	2009-08-22	5	4	6	SMOKE SCREEN		Sandra Brown**SMOKE SCREEN
6296	Jeffery Deaver	1416595627	9781416595625	2009-08-22	1	0	9	THE BODIES LEFT BEHIND		Jeffery Deaver**THE BODIES LEFT BEHIND
6297	Jodi Picoult	1439157383	9781439157381	2009-08-22	14	7	8	MY SISTER’S KEEPER		Jodi Picoult**MY SISTER’S KEEPER
6298	Lisa Jackson	142010277X	9781420102772	2009-08-22	4	6	14	CHOSEN TO DIE		Lisa Jackson**CHOSEN TO DIE
6299	Dean Koontz	0553587900	9780553587906	2009-08-22	4	2	4	DEAN KOONTZ’S FRANKENSTEIN: DEAD AND ALIVE		Dean Koontz**DEAN KOONTZ’S FRANKENSTEIN: DEAD AND ALIVE
6300	Luanne Rice	0553589709	9780553589702	2008-07-12	1	0	17	WHAT MATTERS MOST		Luanne Rice**WHAT MATTERS MOST
6301	Jill Barnett, Debbie Macomber and Susan Wiggs	0778327132	9780778327134	2008-07-12	3	0	11	THAT SUMMER PLACE		Jill Barnett, Debbie Macomber and Susan Wiggs**THAT SUMMER PLACE
6302	Nora Roberts	0515144681	9780515144680	2008-07-12	7	0	18	HIGH NOON		Nora Roberts**HIGH NOON
6303	Janet Evanovich	0312349505	9780312349509	2008-07-12	4	0	1	LEAN MEAN THIRTEEN		Janet Evanovich**LEAN MEAN THIRTEEN
6304	Kathy Reichs	1416525653	9781416525653	2008-07-12	3	0	6	BONES TO ASHES		Kathy Reichs**BONES TO ASHES
6305	Catherine Coulter	051514469X	9780515144697	2008-07-12	3	0	2	DOUBLE TAKE		Catherine Coulter**DOUBLE TAKE
6306	Douglas Preston and Lincoln Child	0446618683	9780446618687	2008-07-12	3	0	7	THE WHEEL OF DARKNESS		Douglas Preston and Lincoln Child**THE WHEEL OF DARKNESS
6307	Nicholas Sparks	0446698326	9780446698320	2008-07-12	2	0	4	DEAR JOHN		Nicholas Sparks**DEAR JOHN
6308	Jude Deveraux	1416509739	9781416509738	2008-07-12	4	0	10	RETURN TO SUMMERHOUSE		Jude Deveraux**RETURN TO SUMMERHOUSE
6309	Cherry Adair, Cindy Gerard and Lora Leigh	0312948425	9780312948429	2008-07-12	1	0	16	RESCUE ME		Cherry Adair, Cindy Gerard and Lora Leigh**RESCUE ME
6310	Debbie Macomber	0061083097	9780061083099	2008-07-12	3	0	3	SOMEDAY SOON		Debbie Macomber**SOMEDAY SOON
6311	James Patterson and Michael Ledwidge	0446199273	9780446199278	2008-07-12	7	0	5	STEP ON A CRACK		James Patterson and Michael Ledwidge**STEP ON A CRACK
6312	Christina Dodd	0451224515	9780451224514	2008-07-12	2	0	14	INTO THE SHADOW		Christina Dodd**INTO THE SHADOW
6313	Clive Cussler with Paul Kemprecos	0425222365	9780425222362	2008-07-12	3	0	8	THE NAVIGATOR		Clive Cussler with Paul Kemprecos**THE NAVIGATOR
6314	Nora Roberts	0373285698	9780373285693	2008-07-12	3	0	9	THE MACGREGOR GROOMS		Nora Roberts**THE MACGREGOR GROOMS
6315	Fern Michaels	1420101862	9781420101867	2008-07-12	3	0	12	FAST TRACK		Fern Michaels**FAST TRACK
6316	R A Salvatore	0786950463	9780786950461	2008-07-12	1	0	19	THE ORC KING		R A Salvatore**THE ORC KING
6317	J A Jance	0060540931	9780060540937	2008-07-12	1	0	20	JUSTICE DENIED		J A Jance**JUSTICE DENIED
6318	Daniel Silva	0451224507	9780451224507	2008-07-12	3	0	13	THE SECRET SERVANT		Daniel Silva**THE SECRET SERVANT
6319	James Rollins	0060765380	9780060765385	2008-07-12	7	0	15	THE JUDAS STRAIN		James Rollins**THE JUDAS STRAIN
6320	Jeffery Deaver	1416549986	9781416549987	2009-05-23	4	9	15	THE BROKEN WINDOW		Jeffery Deaver**THE BROKEN WINDOW
6321	Dean R Koontz	0553807056	9780553807059	2009-05-23	4	4	8	ODD HOURS		Dean R Koontz**ODD HOURS
6322	Mary Balogh	0440244242	9780440244240	2009-05-23	4	12	16	AT LAST COMES LOVE		Mary Balogh**AT LAST COMES LOVE
6323	Lisa Gardner	0553588095	9780553588095	2009-05-23	1	0	5	SAY GOODBYE		Lisa Gardner**SAY GOODBYE
6324	Iris Johansen	0312368097	9780312368098	2009-05-23	5	15	19	DARK SUMMER		Iris Johansen**DARK SUMMER
6325	James Patterson and Howard Roughan	0446536105	9780446536103	2009-05-23	4	2	3	SAIL		James Patterson and Howard Roughan**SAIL
6326	Charlaine Harris	0441009239	9780441009237	2009-05-23	21	20	11	LIVING DEAD IN DALLAS		Charlaine Harris**LIVING DEAD IN DALLAS
6327	Susan Wiggs	077832656X	9780778326564	2009-05-23	4	6	13	JUST BREATHE		Susan Wiggs**JUST BREATHE
6328	Stuart Woods	0451226712	9780451226716	2009-05-23	3	7	12	HOT MAHOGANY		Stuart Woods**HOT MAHOGANY
6329	Charlaine Harris	0441016995	9780441016990	2009-05-23	26	13	7	DEAD UNTIL DARK		Charlaine Harris**DEAD UNTIL DARK
6330	Brad Thor	1416543848	9781416543848	2009-05-23	1	0	6	THE LAST PATRIOT		Brad Thor**THE LAST PATRIOT
6331	Elizabeth George	0061160903	9780061160905	2009-05-23	4	10	14	CARELESS IN RED		Elizabeth George**CARELESS IN RED
6332	Dan Brown	1416524797	9781416524793	2009-05-23	15	1	1	ANGELS AND DEMONS		Dan Brown**ANGELS AND DEMONS
6333	Christine Feehan	0515146234	9780515146233	2009-05-23	4	8	17	BURNING WILD		Christine Feehan**BURNING WILD
6334	Eric Van Lustbader	0446539872	9780446539876	2009-05-23	4	5	9	THE BOURNE SANCTION		Eric Van Lustbader**THE BOURNE SANCTION
6335	Phillip Margolin	0061236225	9780061236228	2009-05-23	3	14	20	EXECUTIVE PRIVILEGE		Phillip Margolin**EXECUTIVE PRIVILEGE
6336	Jodi Picoult	1439157383	9781439157381	2009-05-23	1	0	2	MY SISTER’S KEEPER		Jodi Picoult**MY SISTER’S KEEPER
6337	Charlaine Harris	0441017010	9780441017010	2009-05-23	7	11	10	FROM DEAD TO WORSE		Charlaine Harris**FROM DEAD TO WORSE
6338	John Sandford	0425227987	9780425227985	2009-05-23	3	3	4	PHANTOM PREY		John Sandford**PHANTOM PREY
6339	Allison Brennan	0345502752	9780345502759	2009-05-23	1	0	18	FATAL SECRETS		Allison Brennan**FATAL SECRETS
6340	Sherrilyn Kenyon and Dianna Love	141659745X	9781416597452	2010-04-25	1	0	12	SILENT TRUTH		Sherrilyn Kenyon and Dianna Love**SILENT TRUTH
6341	Lora Leigh	0425233804	9780425233801	2010-04-25	3	10	14	LION'S HEAT		Lora Leigh**LION'S HEAT
6342	Stieg Larsson	0307476154	9780307476159	2010-04-25	5	5	3	THE GIRL WHO PLAYED WITH FIRE		Stieg Larsson**THE GIRL WHO PLAYED WITH FIRE
6343	David Baldacci	0446539740	9780446539746	2010-04-25	10	17	18	FIRST FAMILY		David Baldacci**FIRST FAMILY
6344	Stieg Larsson	0307473473	9780307473479	2010-04-25	6	4	1	THE GIRL WITH THE DRAGON TATTOO		Stieg Larsson**THE GIRL WITH THE DRAGON TATTOO
6345	Nevada Barr	0425233782	9780425233788	2010-04-25	2	18	19	BORDERLINE		Nevada Barr**BORDERLINE
6346	Lee Child	0440243688	9780440243687	2010-04-25	5	7	7	GONE TOMORROW		Lee Child**GONE TOMORROW
6347	Raymond Khoury	0451228200	9780451228208	2010-04-25	4	15	17	THE SIGN		Raymond Khoury**THE SIGN
6348	J D Robb	0425233677	9780425233672	2010-04-25	4	13	20	KINDRED IN DEATH		J D Robb**KINDRED IN DEATH
6349	Nicholas Sparks	0446567337	9780446567336	2010-04-25	22	8	9	DEAR JOHN		Nicholas Sparks**DEAR JOHN
6350	Douglas Preston and Lincoln Child	0446618691	9780446618694	2010-04-25	4	12	13	CEMETERY DANCE		Douglas Preston and Lincoln Child**CEMETERY DANCE
6351	Iris Johansen	0312368135	9780312368135	2010-04-25	1	0	10	BLOOD GAME		Iris Johansen**BLOOD GAME
6352	Sherryl Woods	0778327566	9780778327561	2010-04-25	4	14	15	HOME IN CAROLINA		Sherryl Woods**HOME IN CAROLINA
6353	Charlaine Harris	0441018513	9780441018512	2010-04-25	3	2	5	DEAD AND GONE		Charlaine Harris**DEAD AND GONE
6354	Fern Michaels	1420106864	9781420106862	2010-04-25	4	9	16	DEADLY DEALS		Fern Michaels**DEADLY DEALS
6355	Nicholas Sparks	0446570966	9780446570961	2010-04-25	9	1	2	THE LAST SONG		Nicholas Sparks**THE LAST SONG
6356	Mary Higgins Clark	141657087X	9781416570875	2010-04-25	5	3	4	JUST TAKE MY HEART		Mary Higgins Clark**JUST TAKE MY HEART
6357	Diane Mott Davidson	0061348147	9780061348143	2010-04-25	2	11	6	FATALLY FLAKY		Diane Mott Davidson**FATALLY FLAKY
6358	Janet Evanovich	0061985945	9780061985942	2010-04-25	4	6	8	HERO AT LARGE		Janet Evanovich**HERO AT LARGE
6359	Johanna Lindsey	1416599037	9781416599036	2010-04-25	1	0	11	A ROGUE OF MY OWN		Johanna Lindsey**A ROGUE OF MY OWN
6360	Patricia Briggs	0441016154	9780441016150	2008-08-16	3	0	8	CRY WOLF		Patricia Briggs**CRY WOLF
6361	Dean Koontz	042522385X	9780425223857	2008-08-16	1	0	20	SHADOWFIRES		Dean Koontz**SHADOWFIRES
6362	Faye Kellerman	0061227366	9780061227363	2008-08-16	3	0	7	THE BURNT HOUSE		Faye Kellerman**THE BURNT HOUSE
6363	Karin Slaughter	0440242932	9780440242932	2008-08-16	2	0	19	BEYOND REACH		Karin Slaughter**BEYOND REACH
6364	Susan Mallery	0373773145	9780373773145	2008-08-16	3	0	15	SWEET SPOT		Susan Mallery**SWEET SPOT
6365	Lisa Jackson	1420102761	9781420102765	2008-08-16	3	0	11	LEFT TO DIE		Lisa Jackson**LEFT TO DIE
6366	Raymond Khoury	0451223195	9780451223197	2008-08-16	3	0	9	THE SANCTUARY		Raymond Khoury**THE SANCTUARY
6367	Tess Gerritsen	0345497619	9780345497611	2008-08-16	3	0	14	THE BONE GARDEN		Tess Gerritsen**THE BONE GARDEN
6368	Richard North Patterson	0312945175	9780312945176	2008-08-16	2	0	13	THE RACE		Richard North Patterson**THE RACE
6369	Nicholas Sparks	0446691798	9780446691796	2008-08-16	3	0	3	NIGHTS IN RODANTHE		Nicholas Sparks**NIGHTS IN RODANTHE
6370	Debbie Macomber	0778324745	9780778324744	2008-08-16	4	0	12	THE MANNING BRIDES		Debbie Macomber**THE MANNING BRIDES
6371	Christine Feehan	0515145068	9780515145069	2008-08-16	3	0	10	TURBULENT SEA		Christine Feehan**TURBULENT SEA
6372	John Grisham	0440244714	9780440244714	2008-08-16	4	0	1	PLAYING FOR PIZZA		John Grisham**PLAYING FOR PIZZA
6373	James Patterson and Howard Roughan	0446198978	9780446198974	2008-08-16	3	0	2	YOU’VE BEEN WARNED		James Patterson and Howard Roughan**YOU’VE BEEN WARNED
6374	Carl Hiaasen	0446581755	9780446581752	2008-08-16	1	0	17	NATURE GIRL		Carl Hiaasen**NATURE GIRL
6375	Sandra Brown	1416523332	9781416523338	2008-08-16	4	0	5	PLAY DIRTY		Sandra Brown**PLAY DIRTY
6376	Terry Brooks	0345484134	9780345484130	2008-08-16	1	0	16	THE ELVES OF CINTRA		Terry Brooks**THE ELVES OF CINTRA
6377	Daniel Silva	0451224507	9780451224507	2008-08-16	7	0	18	THE SECRET SERVANT		Daniel Silva**THE SECRET SERVANT
6378	J D Robb	0425222896	9780425222898	2008-08-16	2	0	6	STRANGERS IN DEATH		J D Robb**STRANGERS IN DEATH
6379	Christina Dodd	0451224663	9780451224668	2008-08-16	2	0	4	INTO THE FLAME		Christina Dodd**INTO THE FLAME
6380	Susan Mallery	0373772971	9780373772971	2008-07-19	1	0	20	SWEET TALK		Susan Mallery**SWEET TALK
6381	Kathy Reichs	1416525653	9781416525653	2008-07-19	4	0	9	BONES TO ASHES		Kathy Reichs**BONES TO ASHES
6382	Janet Evanovich	0312349505	9780312349509	2008-07-19	5	0	3	LEAN MEAN THIRTEEN		Janet Evanovich**LEAN MEAN THIRTEEN
6383	Catherine Coulter	051514469X	9780515144697	2008-07-19	4	0	2	DOUBLE TAKE		Catherine Coulter**DOUBLE TAKE
6384	Ridley Pearson	0515144797	9780515144796	2008-07-19	1	0	16	KILLER WEEKEND		Ridley Pearson**KILLER WEEKEND
6385	Douglas Preston and Lincoln Child	0446618683	9780446618687	2008-07-19	4	0	5	THE WHEEL OF DARKNESS		Douglas Preston and Lincoln Child**THE WHEEL OF DARKNESS
6386	Daniel Silva	0451224507	9780451224507	2008-07-19	4	0	6	THE SECRET SERVANT		Daniel Silva**THE SECRET SERVANT
6387	R A Salvatore	0786950463	9780786950461	2008-07-19	2	0	10	THE ORC KING		R A Salvatore**THE ORC KING
6388	Jude Deveraux	1416509739	9781416509738	2008-07-19	5	0	14	RETURN TO SUMMERHOUSE		Jude Deveraux**RETURN TO SUMMERHOUSE
6389	Debbie Macomber	0061083097	9780061083099	2008-07-19	4	0	15	SOMEDAY SOON		Debbie Macomber**SOMEDAY SOON
6390	J A Jance	0060540931	9780060540937	2008-07-19	2	0	17	JUSTICE DENIED		J A Jance**JUSTICE DENIED
6391	James Patterson and Michael Ledwidge	0446199273	9780446199278	2008-07-19	8	0	1	STEP ON A CRACK		James Patterson and Michael Ledwidge**STEP ON A CRACK
6392	Christina Dodd	0451224515	9780451224514	2008-07-19	3	0	13	INTO THE SHADOW		Christina Dodd**INTO THE SHADOW
6393	Clive Cussler with Paul Kemprecos	0425222365	9780425222362	2008-07-19	4	0	4	THE NAVIGATOR		Clive Cussler with Paul Kemprecos**THE NAVIGATOR
6394	Dean R Koontz	0553589113	9780553589115	2008-07-19	10	0	18	THE GOOD GUY		Dean R Koontz**THE GOOD GUY
6395	James Lee Burke	1416548505	9781416548508	2008-07-19	2	0	11	THE TIN ROOF BLOWDOWN		James Lee Burke**THE TIN ROOF BLOWDOWN
6396	Brian Herbert and Kevin J Anderson	0765351498	9780765351494	2008-07-19	1	0	8	SANDWORMS OF DUNE		Brian Herbert and Kevin J Anderson**SANDWORMS OF DUNE
6397	David Lynn Golemon	0312945949	9780312945947	2008-07-19	1	0	19	LEGEND		David Lynn Golemon**LEGEND
6398	Nicholas Sparks	0446698326	9780446698320	2008-07-19	3	0	7	DEAR JOHN		Nicholas Sparks**DEAR JOHN
6399	James Rollins	0060765380	9780060765385	2008-07-19	8	0	12	THE JUDAS STRAIN		James Rollins**THE JUDAS STRAIN
6400	Patricia Briggs	0441016154	9780441016150	2008-08-23	4	0	9	CRY WOLF		Patricia Briggs**CRY WOLF
6401	Dean Koontz	042522385X	9780425223857	2008-08-23	2	0	13	SHADOWFIRES		Dean Koontz**SHADOWFIRES
6402	Faye Kellerman	0061227366	9780061227363	2008-08-23	4	0	8	THE BURNT HOUSE		Faye Kellerman**THE BURNT HOUSE
6403	Karin Slaughter	0440242932	9780440242932	2008-08-23	3	0	18	BEYOND REACH		Karin Slaughter**BEYOND REACH
6404	Susan Mallery	0373773145	9780373773145	2008-08-23	4	0	16	SWEET SPOT		Susan Mallery**SWEET SPOT
6405	Lisa Jackson	1420102761	9781420102765	2008-08-23	4	0	6	LEFT TO DIE		Lisa Jackson**LEFT TO DIE
6406	Raymond Khoury	0451223195	9780451223197	2008-08-23	4	0	11	THE SANCTUARY		Raymond Khoury**THE SANCTUARY
6407	Tess Gerritsen	0345497619	9780345497611	2008-08-23	4	0	17	THE BONE GARDEN		Tess Gerritsen**THE BONE GARDEN
6408	Richard North Patterson	0312945175	9780312945176	2008-08-23	3	0	15	THE RACE		Richard North Patterson**THE RACE
6409	Robert Harris	1416551824	9781416551829	2008-08-23	1	0	19	THE GHOST		Robert Harris**THE GHOST
6410	Nicholas Sparks	0446691798	9780446691796	2008-08-23	4	0	3	NIGHTS IN RODANTHE		Nicholas Sparks**NIGHTS IN RODANTHE
6411	Debbie Macomber	0778324745	9780778324744	2008-08-23	5	0	10	THE MANNING BRIDES		Debbie Macomber**THE MANNING BRIDES
6412	Christine Feehan	0515145068	9780515145069	2008-08-23	4	0	14	TURBULENT SEA		Christine Feehan**TURBULENT SEA
6413	Julia London	1416547118	9781416547112	2008-08-23	1	0	4	THE BOOK OF SCANDAL		Julia London**THE BOOK OF SCANDAL
6414	Susan Wiggs	0778325717	9780778325710	2008-08-23	3	0	20	SUMMER BY THE SEA		Susan Wiggs**SUMMER BY THE SEA
6415	John Grisham	0440244714	9780440244714	2008-08-23	5	0	1	PLAYING FOR PIZZA		John Grisham**PLAYING FOR PIZZA
6416	James Patterson and Howard Roughan	0446198978	9780446198974	2008-08-23	4	0	2	YOU’VE BEEN WARNED		James Patterson and Howard Roughan**YOU’VE BEEN WARNED
6417	Sandra Brown	1416523332	9781416523338	2008-08-23	5	0	5	PLAY DIRTY		Sandra Brown**PLAY DIRTY
6418	J D Robb	0425222896	9780425222898	2008-08-23	3	0	7	STRANGERS IN DEATH		J D Robb**STRANGERS IN DEATH
6419	Christina Dodd	0451224663	9780451224668	2008-08-23	3	0	12	INTO THE FLAME		Christina Dodd**INTO THE FLAME
