	asin	author	author_title	isbn10	isbn13	list_date	num_wks_on_list	rank_last_wk	rank_this_wk	title
4111		 Mary Stewart.	 Mary Stewart.**TOUCH NOT THE CAT		9780449206089	1976-07-25	1	0	9	TOUCH NOT THE CAT
4112		 Jacqueline Susann.	 Jacqueline Susann.**DOLORES		9788425306778	1976-07-25	4	6	4	DOLORES
4113		 Helen MacInnes.	 Helen MacInnes.**AGENT IN PLACE		9781781164303	1976-07-25	13	8	6	AGENT IN PLACE
4114		 Gore Vidal.	 Gore Vidal.**1876		9780345301086	1976-07-25	21	2	7	1876
4115		 Harold Robbins.	 Harold Robbins.**THE LONELY LADY		9781452041360	1976-07-25	10	4	3	THE LONELY LADY
4116		 Nicholas Meyer.	 Nicholas Meyer.**THE WEST END HORROR		9780708900987	1976-07-25	9	9	10	THE WEST END HORROR
4117		 Leon Uris.	 Leon Uris.**TRINITY		9780553258462	1976-07-25	1	20	1	TRINITY
4118		 Anton Myrer.	 Anton Myrer.**A GREEN DESIRE		9780061581410	1982-01-24	1	0	15	A GREEN DESIRE
4119		 Colleen McCullough.	 Colleen McCullough.**AN INDECENT OBSESSION		9782277215349	1982-01-24	16	1	1	AN INDECENT OBSESSION
4120		 James Clavell.	 James Clavell.**NOBLE HOUSE		9780736648660	1982-01-24	5	40	5	NOBLE HOUSE
4121		 Saul Bellow.	 Saul Bellow.**THE DEAN'S DECEMBER		9780671464769	1982-01-24	1	0	6	THE DEAN'S DECEMBER
4122		 John Jakes.	 John Jakes.**NORTH AND SOUTH		9780451235985	1982-01-24	1	0	12	NORTH AND SOUTH
4123		 Bette Bao Lord.	 Bette Bao Lord.**SPRING MOON		9780816133857	1982-01-24	11	2	3	SPRING MOON
4124		 Kit Williams.	 Kit Williams.**MASQUERADE		9780224016179	1982-01-24	41	10	9	MASQUERADE
4125		 Martin Cruz Smith.	 Martin Cruz Smith.**GORKY PARK		9781471131080	1982-01-24	44	15	13	GORKY PARK
4126		 Cynthia Freeman.	 Cynthia Freeman.**NO TIME FOR TEARS		9780877953173	1982-01-24	13	8	8	NO TIME FOR TEARS
4127		 Thomas Harris.	 Thomas Harris.**RED DRAGON		9780712653572	1982-01-24	4	13	14	RED DRAGON
4128		 John Irving.	 John Irving.**THE HOTEL NEW HAMPSHIRE		9780345400482	1982-01-24	21	3	2	THE HOTEL NEW HAMPSHIRE
4129		 Stephen King.	 Stephen King.**CUJO		9781444708127	1982-01-24	26	7	7	CUJO
4130	B0116EBXP4	 William F. Buckley Jr.	 William F. Buckley Jr.**MARCO POLO	1888952113	9781888952117	1982-01-24	2	12	4	MARCO POLO
